[Epoch 3 | Batch 050 ] loss = 1.1165 L2 = 0.0306, Cosine = 0.9724
[Epoch 3 | Batch 051 ] loss = 1.0621 L2 = 0.0263, Cosine = 0.9634
[Epoch 3 | Batch 052 ] loss = 1.0428 L2 = 0.0277, Cosine = 0.9663
[Epoch 3 | Batch 053 ] loss = 1.1388 L2 = 0.0296, Cosine = 0.9670
[Epoch 3 | Batch 054 ] loss = 1.0394 L2 = 0.0256, Cosine = 0.9678
[Epoch 3 | Batch 055 ] loss = 1.0714 L2 = 0.0286, Cosine = 0.9524
[Epoch 3 | Batch 056 ] loss = 1.0561 L2 = 0.0290, Cosine = 0.9431
[Epoch 3 | Batch 057 ] loss = 1.0522 L2 = 0.0283, Cosine = 0.9487
[Epoch 3 | Batch 058 ] loss = 1.1165 L2 = 0.0269, Cosine = 0.9629
[Epoch 3 | Batch 059 ] loss = 0.9755 L2 = 0.0266, Cosine = 0.9601
[Epoch 3 | Batch 060 ] loss = 0.9585 L2 = 0.0286, Cosine = 0.9360
[Epoch 3 | Batch 061 ] loss = 1.0536 L2 = 0.0322, Cosine = 0.9501
[Epoch 3 | Batch 062 ] loss = 0.9984 L2 = 0.0321, Cosine = 0.9367
[Epoch 3 | Batch 063 ] loss = 0.9545 L2 = 0.0320, Cosine = 0.9673
[Epoch 3 | Batch 064 ] loss = 0.9620 L2 = 0.0328, Cosine = 0.9510
[Epoch 3 | Batch 065 ] loss = 1.0883 L2 = 0.0347, Cosine = 0.9508
[Epoch 3 | Batch 066 ] loss = 1.0118 L2 = 0.0331, Cosine = 0.9549
[Epoch 3 | Batch 067 ] loss = 0.9687 L2 = 0.0347, Cosine = 0.9385
[Epoch 3 | Batch 068 ] loss = 0.9699 L2 = 0.0323, Cosine = 0.9649
[Epoch 3 | Batch 069 ] loss = 0.9965 L2 = 0.0332, Cosine = 0.9454
[Epoch 3 | Batch 070 ] loss = 1.0058 L2 = 0.0307, Cosine = 0.9508
[Epoch 3 | Batch 071 ] loss = 1.1112 L2 = 0.0377, Cosine = 0.9542
[Epoch 3 | Batch 072 ] loss = 0.9797 L2 = 0.0330, Cosine = 0.9524
[Epoch 3 | Batch 073 ] loss = 1.0232 L2 = 0.0300, Cosine = 0.9484
[Epoch 3 | Batch 074 ] loss = 1.0353 L2 = 0.0287, Cosine = 0.9633
[Epoch 3 | Batch 075 ] loss = 1.0397 L2 = 0.0292, Cosine = 0.9591
[Epoch 3 | Batch 076 ] loss = 1.0489 L2 = 0.0277, Cosine = 0.9405
[Epoch 3 | Batch 077 ] loss = 0.9866 L2 = 0.0300, Cosine = 0.9551
[Epoch 3 | Batch 078 ] loss = 0.9965 L2 = 0.0268, Cosine = 0.9561
[Epoch 3 | Batch 079 ] loss = 1.0282 L2 = 0.0274, Cosine = 0.9493
[Epoch 3 | Batch 080 ] loss = 0.9783 L2 = 0.0289, Cosine = 0.9505
[Epoch 3 | Batch 081 ] loss = 1.0502 L2 = 0.0284, Cosine = 0.9531
[Epoch 3 | Batch 082 ] loss = 0.9434 L2 = 0.0262, Cosine = 0.9555
[Epoch 3 | Batch 083 ] loss = 1.0192 L2 = 0.0310, Cosine = 0.9551
[Epoch 3 | Batch 084 ] loss = 1.0907 L2 = 0.0300, Cosine = 0.9633
[Epoch 3 | Batch 085 ] loss = 0.9732 L2 = 0.0290, Cosine = 0.9599
[Epoch 3 | Batch 086 ] loss = 1.0028 L2 = 0.0300, Cosine = 0.9609
[Epoch 3 | Batch 087 ] loss = 0.9130 L2 = 0.0291, Cosine = 0.9512
[Epoch 3 | Batch 088 ] loss = 1.0040 L2 = 0.0333, Cosine = 0.9465
[Epoch 3 | Batch 089 ] loss = 0.9415 L2 = 0.0267, Cosine = 0.9678
[Epoch 3 | Batch 090 ] loss = 0.9588 L2 = 0.0300, Cosine = 0.9522
[Epoch 3 | Batch 091 ] loss = 0.9691 L2 = 0.0318, Cosine = 0.9415
[Epoch 3 | Batch 092 ] loss = 0.9692 L2 = 0.0330, Cosine = 0.9525
[Epoch 3 | Batch 093 ] loss = 1.0021 L2 = 0.0324, Cosine = 0.9503
[Epoch 3 | Batch 094 ] loss = 0.9333 L2 = 0.0314, Cosine = 0.9578
[Epoch 3 | Batch 095 ] loss = 0.9454 L2 = 0.0301, Cosine = 0.9343
[Epoch 3 | Batch 096 ] loss = 0.9486 L2 = 0.0302, Cosine = 0.9472
[Epoch 3 | Batch 097 ] loss = 0.8340 L2 = 0.0336, Cosine = 0.9347
Epoch [3] Test Acc: 58.62% 
[Epoch 4 | Batch 000 ] loss = 0.8236 L2 = 0.0384, Cosine = 0.8958
[Epoch 4 | Batch 001 ] loss = 0.9150 L2 = 0.0493, Cosine = 0.8862
